"Id","Context","LegacyTest","TargetLayer","Status","TargetTest","Notes"
"54","Downscale autosample tdd coverage","Resolve-ToMkvGpu576AutoSampleSettings_WhenLimitsReachedAndStillOutOfCorridor_StopsWithoutFurtherChanges","Core","covered_core","TranscodePolicyAutoSamplingTests.ResolveAutoSampleSettings_WhenLimitsReachedAndStillOutOfCorridor_StopsWithoutFurtherChanges","Mapped to explicit xUnit test in this repo."
"55","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenContentProfileAnimeAndQualityDefault_ReturnsAnimeDefaultRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenUsingStaticProfilesForFhdBucket_ReturnsExpectedRange","Mapped to explicit xUnit test in this repo."
"56","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenContentProfileMultAndQualityDefault_ReturnsMultDefaultRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenUsingStaticProfilesForFhdBucket_ReturnsExpectedRange","Mapped to explicit xUnit test in this repo."
"57","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenContentProfileFilmAndQualityDefault_ReturnsFilmDefaultRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenUsingStaticProfilesForFhdBucket_ReturnsExpectedRange","Mapped to explicit xUnit test in this repo."
"58","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenContentSpecificRangeMissing_FallsBackToGlobalQualityRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenContentRangeMissing_FallsBackToGlobalQualityRange","Mapped to explicit xUnit test in this repo."
"59","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightMatchesConfiguredBucket_ReturnsMatchedBucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenHeightMatchesConfiguredBucket_ReturnsMatchedBucket","Mapped to explicit xUnit test in this repo."
"60","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightIsInHd720Range_ReturnsHd720Bucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"61","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightIs1105_ReturnsFhd1080Bucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"62","Downscale autosample tdd coverage","Get-ToMkvGpu576ProfilesConfig_WhenCalled_ContainsExpectedSourceBucketRanges","Core","covered_core","StaticProfileRepositoryTests.Get576Config_WhenCalled_ReturnsExpectedBucketsWithoutDefaultBucket","Mapped to explicit xUnit test in this repo."
"63","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightEquals650_ReturnsHd720Bucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"64","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightEquals899_ReturnsHd720Bucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"65","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightEquals900_ReturnsNull","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"66","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightEquals999_ReturnsNull","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"67","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightEquals1000_ReturnsFhd1080Bucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"68","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightEquals1300_ReturnsFhd1080Bucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"69","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightEquals1301_ReturnsNull","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenBoundaryHeightProvided_ReturnsExpectedBucket","Mapped to explicit xUnit test in this repo."
"70","Downscale autosample tdd coverage","Resolve-ToMkvGpuSourceBucket_WhenHeightDoesNotMatchConfiguredBuckets_ReturnsDefaultBucket","Core","covered_core","TranscodePolicyBucketTests.ResolveSourceBucket_WhenHeightDoesNotMatchConfiguredBuckets_ReturnsDefaultBucket","Mapped to explicit xUnit test in this repo."
"71","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenBucketHasContentRange_ReturnsBucketRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenBucketHasContentSpecificRange_ReturnsBucketRange","Mapped to explicit xUnit test in this repo."
"72","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenHd720BucketMatched_ReturnsHd720BucketRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenHd720BucketMatched_ReturnsHd720BucketRange","Mapped to explicit xUnit test in this repo."
"73","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenBucketDoesNotMatch_FallsBackToGlobalRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenNoBucketMatch_FallsBackToGlobalContentRange","Mapped to explicit xUnit test in this repo."
"74","Downscale autosample tdd coverage","Resolve-ToMkvGpuQualityRange_WhenProbeHeightMissing_UsesDefaultBucketRange","Core","covered_core","TranscodePolicyBucketTests.ResolveQualityRange_WhenSourceHeightMissingAndDefaultBucketHasQualityRange_UsesDefaultBucketRange","Mapped to explicit xUnit test in this repo."
"75","Downscale autosample tdd coverage","Resolve-ToMkvGpu576AutoSampleSettings_WhenMatchedBucketRangeDiffers_UsesMatchedBucketBounds","Core","covered_core","TranscodePolicyAutoSamplingTests.ResolveAutoSampleSettings_WhenMatchedBucketRangeDiffers_UsesMatchedBucketBounds","Mapped to explicit xUnit test in this repo."
"76","Downscale autosample tdd coverage","Resolve-ToMkvGpu576AutoSampleSettings_WhenSamplingModeFast_UsesProbeEstimateStrategy","Core","covered_core","TranscodePolicyAutoSamplingTests.ResolveAutoSampleSettings_WhenSamplingModeFast_UsesFastProvider","Mapped to explicit xUnit test in this repo."
"77","Downscale autosample tdd coverage","Resolve-ToMkvGpu576AutoSampleSettings_WhenSamplingModeAccurate_UsesAccurateStrategy","Core","covered_core","TranscodePolicyAutoSamplingTests.ResolveAutoSampleSettings_WhenSamplingModeAccurate_UsesAccurateProvider","Mapped to explicit xUnit test in this repo."
"78","Downscale autosample tdd coverage","Resolve-ToMkvGpu576AutoSampleSettings_WhenSamplingModeHybrid_UsesFastThenAccurateStrategies","Core","covered_core","TranscodePolicyAutoSamplingTests.ResolveAutoSampleSettings_WhenSamplingModeHybridAndFastOutOfBounds_RunsAccurateProvider","Mapped to explicit xUnit test in this repo."
"79","Downscale autosample tdd coverage","Resolve-ToMkvGpu576AutoSampleSettings_WhenFastEstimateWithinCorridor_SkipsAccurateRefinement","Core","covered_core","TranscodePolicyAutoSamplingTests.ResolveAutoSampleSettings_WhenSamplingModeHybridAndFastInBounds_SkipsAccurateProvider","Mapped to explicit xUnit test in this repo."
"80","Downscale autosample tdd coverage","Resolve-ToMkvGpu576AutoSampleSettings_WhenFastEstimateOutsideCorridor_RunsAccurateRefinement","Core","covered_core","TranscodePolicyAutoSamplingTests.ResolveAutoSampleSettings_WhenSamplingModeHybridAndFastOutOfBounds_RunsAccurateProvider","Mapped to explicit xUnit test in this repo."
"81","Downscale autosample tdd coverage","ToMkvGPU_Downscale576_WhenManualMaxrateProvided_SkipsAutoSample","Core","covered_core","TranscodeEngineTests.Process_WhenDownscale576AndManualOverrideProvided_SkipsAutoSample","Mapped to explicit xUnit test in this repo."
"82","Downscale autosample tdd coverage","ToMkvGPU_Downscale576_WhenManualBufsizeProvided_SkipsAutoSample","Core","covered_core","TranscodeEngineTests.Process_WhenDownscale576AndManualOverrideProvided_SkipsAutoSample","Mapped to explicit xUnit test in this repo."
"83","Downscale autosample tdd coverage","ToMkvGPU_Downscale576_WhenProbeDurationMissing_SkipsAutoSampleAndUsesProfileSettings","Core","covered_core","TranscodeEngineTests.Process_WhenDownscale576AndProbeDurationMissing_SkipsAutoSampleAndUsesProfileSettings","Mapped to explicit xUnit test in this repo."
"84","Downscale autosample tdd coverage","ToMkvGPU_Downscale576_WhenSamplingModeFast_UsesFastResolvedSettingsInCommand","Core","covered_core","TranscodeEngineTests.Process_WhenDownscale576AndAutoSampleModeFast_UsesFastResolvedSettingsInCommand","Mapped to explicit xUnit test in this repo."
"85","video: размеры / ориентация (в filter_complex)","если width/height нет или <=0 — использует 1920x1080 в filter_complex (только при -OverlayBg)","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenOverlayAndSourceDimensionsAreMissing_UsesSafeDefaultDimensions","Mapped to explicit xUnit test in this repo."
"86","video: размеры / ориентация (в filter_complex)","если портрет (width меньше height) — меняет местами (outW не меньше outH) в filter_complex (только при -OverlayBg)","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenOverlayAndSourceIsPortrait_SwapsDimensionsToLandscapeOutput","Mapped to explicit xUnit test in this repo."
"87","audio: выбор copy vs AAC encode","когда все audio=aac (или аудио нет) — ставит: -map 0:a? -c:a copy","Core","covered_core","TranscodeEngineTests.Process_WhenNoAudioStreams_UsesAudioCopyMapOptional","Mapped to explicit xUnit test in this repo."
"88","audio: выбор copy vs AAC encode","когда есть хотя бы один non-AAC — ставит AAC encode: -c:a aac -ar 48000 -ac 2 -b:a 192k -af aresample=async=1:first_pts=0","Core","covered_core","TranscodeEngineTests.Process_WhenAudioIsNonAacAndVideoIsCopyable_EncodesAudioAndKeepsVideoCopy","Mapped to explicit xUnit test in this repo."
"89","audio: выбор copy vs AAC encode","с -SyncAudio форсит AAC encode даже если аудио уже AAC и видео копируется","Core","covered_core","TranscodeEngineTests.Process_WhenSyncAudioAndStreamsAreCopyable_EncodesAudioWithSoftSanitize","Mapped to explicit xUnit test in this repo."
"90","audio: выбор copy vs AAC encode","когда видео перекодируется (даже при AAC audio) — форсит аудио в AAC + async-resample (без -c:a copy)","Core","covered_core","TranscodeEngineTests.Process_WhenVideoEncodeAndAudioIsAac_EncodesAudioWithHardSanitize","Mapped to explicit xUnit test in this repo."
"91","sanitize flags","добавляет sanitize только в режиме чистого ремукса/смены контейнера (video copy + audio copy)","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenContainerChangeWithCopyStreams_UsesCopyCodecsAndGenptsSanitize","Mapped to explicit xUnit test in this repo."
"92","sanitize flags","в сценарии 'encode только аудио' добавляет мягкий sanitize (без igndts)","Core","covered_core","TranscodeEngineTests.Process_WhenAudioIsNonAacAndVideoIsCopyable_EncodesAudioAndKeepsVideoCopy","Audio-only encode path uses soft sanitize (no igndts)."
"93","sanitize flags","когда видео перекодируется — добавляет sync-fix: -fflags +genpts+igndts и -avoid_negative_ts make_zero","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenCalled_UsesExpectedSanitizeFlags","Mapped to explicit xUnit test in this repo."
"94","sanitize flags","когда перекодируется только аудио (video copy) — добавляет мягкий sanitize (без igndts)","Core","covered_core","TranscodeEngineTests.Process_WhenAudioIsNonAacAndVideoIsCopyable_EncodesAudioAndKeepsVideoCopy","Audio-only encode path uses soft sanitize (no igndts)."
"95","sanitize flags","когда перекодируется только аудио в .mkv (video copy, без SyncAudio) — не добавляет genpts/igndts, только avoid_negative_ts","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenCalled_UsesExpectedSanitizeFlags","Mapped to explicit xUnit test in this repo."
"96","общие инварианты команды","всегда добавляет -sn","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenContainerChangeWithCopyStreams_UsesCopyCodecsAndGenptsSanitize","Mapped to explicit xUnit test in this repo."
"97","общие инварианты команды","всегда добавляет -max_muxing_queue_size 4096","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenContainerChangeWithCopyStreams_UsesCopyCodecsAndGenptsSanitize","Mapped to explicit xUnit test in this repo."
"98","общие инварианты команды","всегда выход .mkv","Core","covered_core","TranscodeEngineTests.Process_WhenInputIsNotMkv_UsesFinalMkvOutputAndDeletePostOperation","Mapped to explicit xUnit test in this repo."
"99","subtitles handling","даже если есть subtitle stream — всё равно выкидывает субтитры (-sn присутствует)","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenContainerChangeWithCopyStreams_UsesCopyCodecsAndGenptsSanitize","Mapped to explicit xUnit test in this repo."
"100","OverlayBg (optional filter_complex)","без -OverlayBg в encode не добавляет -filter_complex и явно мапит -map 0:v:0 (не -map ","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenVideoEncodeWithoutOverlay_UsesNvencAndSourceVideoMap","Mapped to explicit xUnit test in this repo."
"101","OverlayBg (optional filter_complex)","с -OverlayBg в encode добавляет -filter_complex и мапит -map ","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenOverlayEnabled_UsesFilterComplexAndOverlayMap","Mapped to explicit xUnit test in this repo."
"102","OverlayBg (optional filter_complex)","с -OverlayBg в encode использует h264_nvenc + vbr_hq cq 21 (default) + vbv 4M/8M + AQ/lookahead","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenOverlayEnabled_UsesFilterComplexAndOverlayMap","Mapped to explicit xUnit test in this repo."
"103","OverlayBg (optional filter_complex)","с -OverlayBg форсит encode (NVENC) даже когда видео можно копировать","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenOverlayEnabled_UsesFilterComplexAndOverlayMap","Mapped to explicit xUnit test in this repo."
"104","OverlayBg (optional filter_complex)","с -OverlayBg и без width/height — печатает REM Unknown dimensions и не печатает ffmpeg-команду","Core","obsolete_replaced","","Legacy PowerShell behavior emitted REM on unknown dimensions in overlay mode. Core builder now uses safe fallback dimensions; no REM branch."
